CAAN,BUILDINGNAME,NAME_SHORT,FLOORCOUNT,REGION,CAMPUS,UNDERGROUND,BLDGAREA,BLDGTYPE,OPERHOURS,OPERDATE,ACCESSTYPE,CONDITION,OWNEDBY,MAINTBY,BLDGHEIGHT,SUBFEED,ADDRESS,CITY,STATE,COUNTY,COUNTRY,ZIPCODE,RMSTANDARD,BLDGUSE_P,LAT_Y,LONG_X,NORTH,EAST,Shape__Area,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
1374,Central Heating Plant,Central Heating Plant,5,6,Central,0,,,,,,,1,1,,2,209 Frank Schlessinger Wy,Berkeley,CA,Alameda,USA,94720,N,700,-122.263459293035,37.870293958738,2144149.62234546,6052676.89827148,14544.4775390625,598.268163579548,{BBEE2DA7-0EDD-41CF-9CDF-5D9B0E63F02D},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1418,Dwinelle Annex,Dwinelle Annex,2,3,Central,0,,,,,,,1,1,,2,South Circle,Berkeley,CA,Alameda,USA,94720,S,300,-122.261295609165,37.8703413015635,2144155.09748427,6053301.6606562,6181.453125,401.01871335174235,{64FE9AD6-DB97-4E5B-843F-B8899180F6FD},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1215,Alumni House,Alumni House,2,6,Central,0,,,,,,,1,1,,2,Spieker Plaza,Berkeley,CA,Alameda,USA,94720,S,300,-122.261298316082,37.8697208475044,2143929.22764689,6053296.6277713,13031.2275390625,719.5779795337469,{40F60A5B-56DB-4AC8-B5BA-76D1D12C5C01},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1802,Zellerbach Hall,Zellerbach Hall,7,6,Central,0,,,,,,,1,1,,2,101 Zellerbach Hall,Berkeley,CA,Alameda,USA,94720,N,600,-122.260976339067,37.8691032584114,2143702.63723084,6053385.31955944,47796.224609375,1024.6272010555183,{56ED35C1-6964-43D0-898C-041C06E4E507},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1784,Chavez Student Center,Chavez Student Center,4,6,Central,0,,,,,,,1,1,,2,Sather Road,Berkeley,CA,Alameda,USA,94720,N,600,-122.260228179815,37.8697521268774,2143934.80392258,6053605.68510275,26648.0029296875,1081.2844993449698,{F78B9438-078B-4CF5-9E9D-DE215E55074F},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1295,Dwinelle Hall,Dwinelle Hall,8,3,Central,0,,,,,,,1,1,,2,South Drive,Berkeley,CA,Alameda,USA,94720,S,100,-122.260618569768,37.8706951922528,2144280.25892218,6053499.47817162,62286.939453125,1993.4317470319747,{1F95AB8E-FFB1-4B14-B27E-F6D242C926A8},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1227,Durant Hall,Durant Hall,4,3,Central,0,,,,,,,1,1,,2,Dwinelle Path,Berkeley,CA,Alameda,USA,94720,S,300,-122.260143666458,37.8712592519249,2144483.0342208,6053640.39676815,6500.921875,323.11208309395136,{1935A7B2-68C4-4945-927D-60A6E4E4A747},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1552,Wheeler Hall,Wheeler Hall,7,3,Central,0,,,,,,,1,1,,2,Wheeler Hall,Berkeley,CA,Alameda,USA,94720,S,100,-122.25916960025,37.871310964384,2144496.57452774,6053921.86215086,36936.0966796875,829.2768286031558,{DACE94B0-4113-465F-8F50-4BB6EB9314E7},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1210,Sproul Hall,Sproul Hall,6,4,Central,0,,,,,,,1,1,,2,Barrow Lane,Berkeley,CA,Alameda,USA,94720,S,300,-122.258786754405,37.8695997812999,2143871.51806432,6054020.64058977,29520.1982421875,909.7114172238125,{BAA8D988-6535-4684-BE83-A9534A37E68D},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1406,Valley Life Sciences Building,VLSB,8,,Central,0,,,,,,,1,,,1,Harmon Way,Berkeley,CA,Alameda,USA,94720,,,-122.262135627871,37.8714856092502,2144576.26233337,6053067.07676337,92419.0634765625,1933.5818396924976,{0A2F1B42-CA18-40BB-B3E1-8C575B157496},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1225,Weill Hall,Weill Hall,7,6,Central,0,,,,,,,1,1,,1,Weill Hall,Berkeley,CA,Alameda,USA,94720,S,200,-122.263262341375,37.8714112410637,2144555.31246636,6052741.40344506,30850.6240234375,781.9038186479386,{C2F66F60-9100-4B6B-B4E9-BDEF150B224F},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1269,Haz Mat Facility,Haz Mat Facility,,6,Central,0,,,,,,,1,1,,2,Frank Schlessinger Way,Berkeley,CA,Alameda,USA,94720,,,,,,,14230.935546875,551.9173119101456,{90F212EC-5FCE-48A5-AE71-28A7985BB39D},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1318,Evans Diamond Batting Shed,Batting Shed,1,,Central,0,,,,,,,1,1,,2,Frank Schlessinger Way,Berkeley,CA,Alameda,USA,94720,S,700,-122.263947814023,37.8699391926926,2144023.12249161,6052533.47669004,4240.7880859375,301.07481618648234,{9D9571E6-3638-466F-927D-3635FC7401DA},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1365,Spieker Aquatic Complex East,Spieker Aquatic Complex E,3,,Central,0,,,,,,,1,1,,2,2301 Bancroft Way,Berkeley,CA,Alameda,USA,94720,N,500,-122.261806184928,37.868754091008,2143580.02623782,6053143.42925563,5794.818359375,397.8773144323378,{7F89DEE1-2447-4D34-ADC6-26D481D1FE4A},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1795,Bancroft Dance Studio,Bancroft Dance Studio,2,6,Central,0,,,,,,,1,1,,2,2401 Bancroft Way,Berkeley,CA,Alameda,USA,94720,S,300,-122.261184501277,37.868699733585,2143556.85923579,6053322.47806916,4586.62890625,320.5416539636972,{1FCF0F70-BD9E-41F7-85A0-A30E3CA3EC26},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1924,Career Center,Career Center,4,2,South,0,,,,,,,1,1,,,2440 Bancroft Way,Berkeley,CA,Alameda,USA,94704,N,600,-122.260429482362,37.8682721187561,2143397.08002619,6053537.45208242,11740.51171875,561.4440046607954,{77D1381C-9944-42D1-9684-4772A759622A},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1301,Doe Memorial Library,Doe Memorial Library,5,3,Central,0,,,,,,,1,1,,2,Library Court,Berkeley,CA,Alameda,USA,94720,N,400,-122.259500349117,37.8721937464497,2144819.75805267,6053832.45266996,55970.4677734375,986.5342235417952,{E4425538-181B-4684-8251-5F0E4C911264},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1017,BAMPFA,BAMPFA,,5,Perimeter,0,,,,,,,1,1,,"3, 7",2155 Center Street,Berkeley,CA,Alameda,USA,94704,,,-122.266404057537,37.8709136965894,2144391.27532583,6051831.30038245,37101.75390625,878.1427292993008,{44FD7E26-9EAD-4A55-9BEF-A894BF73C696},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1014,2154-60 Univesity Ave.,2154-60 Univesity Ave.,2,,Perimeter,0,,,,,,,1,1,,,2154-60 Univesity Ave.,Berkeley,CA,Alameda,USA,94704,N,600,-122.267282851164,37.8719900278924,2144787.91657049,6051585.08406482,25442.8603515625,880.3763457612794,{5D47AD2A-598F-4D1B-8591-CE337A695C71},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1594,University Hall,University Hall,9,5,Perimeter,0,,,,,,,1,1,,"3, 7",2018 Oxford St,Berkeley,CA,Alameda,USA,94704,S,300,-122.266510645917,37.871911637048,2144755.16931896,6051807.39808541,29624.0166015625,937.9465218541318,{4DA9DF38-138A-4E35-ACD1-3E72C379C026},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1902,Banway Building,Banway Building,5,2,Perimeter,0,,,,,,,1,1,,,2111 Bancroft Way,Berkeley,CA,Alameda,USA,94704,S,300,-122.266894350906,37.8679016298299,2143297.36513292,6051669.09734938,9329.033203125,412.95745064245205,{8AC4AD4C-4447-4850-9474-E4A8D62558F7},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1150,C.V. Starr East Asian Library,Starr East Asian Library,4,3,Central,0,,,,,,,1,1,,"3, 7",University Drive,Berkeley,CA,Alameda,USA,94720,N,400,-122.260377279232,37.8735508467837,2145318.58882692,6053588.67212892,19601.388671875,616.033652745436,{9FB0DDC9-7080-4A7B-93AB-6C29C53050C8},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1032,Jacobs Hall,Jacobs Hall,4,1,Perimeter,0,,,,,,,1,1,,5,2530 Ridge Road,Berkeley,CA,Alameda,USA,94709,S,200,-122.258803837222,37.8760366644739,2146215.04673259,6054059.75712421,7623.056640625,376.7633375504049,{9DA2F79F-CC41-4D75-8D63-16B31FA7B9C2},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1321,McLaughlin Hall,McLaughlin Hall,6,1,Central,0,,,,,,,1,1,,5,McLaughlin Hall,Berkeley,CA,Alameda,USA,94720,S,200,-122.259045075659,37.8738333228826,2145414.19823029,6053975.06191571,10373.658203125,445.47858783984987,{0FF9583F-4CF0-4323-8D65-AE76FDD02C06},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1444,Li Ka-Shing Center,Li Ka-Shing,9,5,Central,0,,,,,,,1,1,,"3, 7",2535 Oxford St,Berkeley,CA,Alameda,USA,94720,S,200,-122.265336040682,37.8729878555744,2145140.58357663,6052153.77262598,39340.712890625,1107.41212781916,{C8CB38B1-0314-499C-8081-5F70123CAD0E},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1095,Warren Hall,Warren Hall,4,5,Perimeter,0,,,,,,,1,1,,"3, 7",2195 Hearst Ave.,Berkeley,CA,Alameda,USA,94709,S,500,-122.266976076391,37.8743949143538,2145661.77528023,6051690.14979296,21656.1162109375,730.675070127442,{5A9AF992-8B6D-43E3-BF1F-1F71CBA482B8},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1299,Moffitt Library,Moffitt Library,5,3,Central,0,,,,,,,1,1,,"3, 7",350 Moffitt Library,Berkeley,CA,Alameda,USA,94720,N,400,-122.26079690932,37.8725828009367,2144968.4370011,6053460.94067707,37921.3896484375,911.9478466190069,{695C6EB4-B7E9-4DDC-89FE-8904BCFD49B2},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1322,Blum Hall,Blum Hall,4,1,Central,0,,,,,,,1,1,,5,Hearst Avenue,Berkeley,CA,Alameda,USA,94720,S,300,-122.258952722781,37.8749771464602,2145830.12203731,6054009.54130902,9110.3115234375,588.3779124567856,{EE229DCF-C291-4D56-A5C6-52B3490B1337},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1762,McCone Hall,McCone Hall,7,1,Central,0,,,,,,,1,1,,5,Haviland Path,Berkeley,CA,Alameda,USA,94720,S,200,-122.259684133946,37.8741308161856,2145525.97206402,6053792.67559066,24817.5078125,723.4826482151694,{67B5EE75-A382-440A-81C9-C09FEED98258},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1439,University House,University House,4,3,Central,0,,,,,,,1,1,,5,Oxford St.,Berkeley,CA,Alameda,USA,94720,N,600,-122.262227297543,37.8744934711068,2145671.83172669,6053061.28418412,5862.185546875,335.25187276254945,{9A33DAD6-DE0E-4904-88EB-FBFCC8C42068},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1264,Wheeler Brain Imaging Center North,Wheeler Magnet North,1,,Central,0,,,,,,,1,1,,,Bayard Rustin Way,Berkeley,CA,Alameda,USA,94720,S,200,-122.263030377574,37.8737311646351,2145398.65062631,6052824.25986232,838.2861328125,147.3558462350278,{1090C9C6-3B9D-42BC-B95B-2DEE79D63DD2},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1264,Wheeler Brain Imaging Center South,Wheeler Magnet North,1,5,Central,0,,,,,,,1,1,,,Bayard Rustin Way,Berkeley,CA,Alameda,USA,94720,S,200,-122.263030377574,37.8737311646351,2145398.65062631,6052824.25986232,766.3134765625,137.9763910400549,{24300B11-C061-47CD-9A7E-365C171C3061},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
